student_id,study_hours,attendance_pct,previous_score,assignments_completed,result
185,3.8,86,43,6,0
186,8.3,74,44,5,1
187,10.0,94,60,9,1
188,7.1,79,30,8,1
189,6.8,91,83,0,1
190,3.7,55,32,3,0
191,2.0,52,45,8,0
192,10.9,89,86,3,1
193,10.9,99,41,9,1
194,8.0,81,45,2,1
195,4.7,69,53,8,1
196,4.8,58,57,1,0
197,9.0,56,37,3,0
198,10.9,95,65,5,1
199,10.8,58,37,1,1
200,9.6,67,87,7,1
